web-scraper-order,web-scraper-start-url,offer_url,offer_url-href,location,net_price,deposit,area,room_num,build_type,floor,total_floor,build_mat,windows,heating,year_built,status,agd,security,add_info,rest_info,offer_ID,next_pagination,next_pagination-href,add_cost,offer_last_update,second_page,second_page-href,third_page,third_page-href
1612265907-2487,https://www.otodom.pl/wynajem/mieszkanie/warszawa/?search%5Bprivate_business%5D=private&search%5Border%5D=created_at_first%3Adesc&search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&nrAdsPerPage=72,"37 m²
                    
                        wynajmę/od zaraz/2 pokoje/1 sierpnia",https://www.otodom.pl/pl/oferta/wynajme-od-zaraz-2-pokoje-1-sierpnia-ID49Qs3.html#a72f4affab,"Warszawa, Włochy, ul. 1 Sierpnia",2 100 zł,Kaucja:2 100 zł,Powierzchnia:37 m²,Liczba pokoi:2,,Piętro:parter,Liczba pięter:4,,Okna:plastikowe,,,Stan wykończenia:do zamieszkania,zmywarkalodówkameblepiekarnikkuchenkatelewizorpralka,domofon / wideofon,internet,klimatyzacja,Nr oferty w Otodom: 61451923,,https://www.otodom.pl/wynajem/mieszkanie/warszawa/?search%5Bprivate_business%5D=private&search%5Border%5D=created_at_first%3Adesc&search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&nrAdsPerPage=72&page=3,,Data aktualizacji: 3 dni temu,,,,
1612264314-1965,https://www.otodom.pl/wynajem/mieszkanie/warszawa/?search%5Bprivate_business%5D=private&search%5Border%5D=created_at_first%3Adesc&search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&nrAdsPerPage=72,"38 m²
                    
                        2 pokoje TANIO! NOWE bezpośrednio, bez prowizji",https://www.otodom.pl/pl/oferta/2-pokoje-tanio-nowe-bezposrednio-bez-prowizji-ID49Ew9.html#a3c75cdc52,"Warszawa, Mokotów, ul. Suwak 11",1 825 zł,Kaucja:3 400 zł,Powierzchnia:38 m²,Liczba pokoi:2,Rodzaj zabudowy:blok,Piętro:parter,,Materiał budynku:pustak,Okna:plastikowe,Ogrzewanie:miejskie,Rok budowy:2020,Stan wykończenia:do zamieszkania,zmywarkalodówkameblepiekarnikkuchenkapralka,domofon / wideofonmonitoring / ochrona,telewizja kablowainternet,garaż/miejsce parkingowewindapom. użytkowe,Nr oferty w Otodom: 61405987,,https://www.otodom.pl/wynajem/mieszkanie/warszawa/?search%5Bprivate_business%5D=private&search%5Border%5D=created_at_first%3Adesc&search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&nrAdsPerPage=72&page=10,Czynsz - dodatkowo:350 zł,Data aktualizacji: 2 dni temu,,,,
1612263242-1616,https://www.otodom.pl/wynajem/mieszkanie/warszawa/?search%5Bprivate_business%5D=private&search%5Border%5D=created_at_first%3Adesc&search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&nrAdsPerPage=72,"57 m²
                    
                        Wynajmę mieszkanie 57 m2 Warszawa Bielany",https://www.otodom.pl/pl/oferta/wynajme-mieszkanie-57-m2-warszawa-bielany-ID49vz0.html#a0b0728056,"Warszawa, Bielany, ul. Kwitnąca",3 300 zł,Kaucja:3 300 zł,Powierzchnia:57 m²,Liczba pokoi:3,Rodzaj zabudowy:blok,Piętro:parter,Liczba pięter:15,Materiał budynku:wielka płyta,Okna:drewniane,Ogrzewanie:miejskie,Rok budowy:1984,Stan wykończenia:do zamieszkania,zmywarkalodówkameblepiekarnikkuchenkatelewizorpralka,drzwi / okna antywłamaniowedomofon / wideofonmonitoring / ochrona,telewizja kablowainternet,balkontylko dla niepalącychoddzielna kuchnia,Nr oferty w Otodom: 61375474,,https://www.otodom.pl/wynajem/mieszkanie/warszawa/?search%5Bprivate_business%5D=private&search%5Border%5D=created_at_first%3Adesc&search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&nrAdsPerPage=72&page=14,Czynsz - dodatkowo:1 zł,Data aktualizacji: 22 dni temu,,,,
1612265477-2346,https://www.otodom.pl/wynajem/mieszkanie/warszawa/?search%5Bprivate_business%5D=private&search%5Border%5D=created_at_first%3Adesc&search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&nrAdsPerPage=72,"63 m²
                    
                        Zielone Zacisze, 2-pokoje, 63m2, komórka, garaż",https://www.otodom.pl/pl/oferta/zielone-zacisze-2-pokoje-63m2-komorka-garaz-ID49Ndy.html#2cc7c7706d,"Warszawa, Targówek, ul. św. Wincentego",2 200 zł,,Powierzchnia:63 m²,Liczba pokoi:2,Rodzaj zabudowy:blok,Piętro:4,Liczba pięter:5,Materiał budynku:cegła,Okna:drewniane,Ogrzewanie:miejskie,Rok budowy:2005,Stan wykończenia:do zamieszkania,zmywarkalodówkameblepiekarnikkuchenkatelewizorpralka,teren zamkniętydomofon / wideofonmonitoring / ochrona,balkon,,Nr oferty w Otodom: 61439492,,https://www.otodom.pl/wynajem/mieszkanie/warszawa/?search%5Bprivate_business%5D=private&search%5Border%5D=created_at_first%3Adesc&search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&nrAdsPerPage=72&page=5,,Data aktualizacji: 5 dni temu,,,,
1612266187-2579,https://www.otodom.pl/wynajem/mieszkanie/warszawa/?search%5Bprivate_business%5D=private&search%5Border%5D=created_at_first%3Adesc&search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&nrAdsPerPage=72,"65 m²
                    
                        Eleganckie mieszkanie w kamienicy na St. Ochocie",https://www.otodom.pl/pl/oferta/eleganckie-mieszkanie-w-kamienicy-na-st-ochocie-ID49RgQ.html#5b38a96bcb,"Warszawa, Ochota, Stara Ochota, ul. Juliana Ursyna Niemcewicza",3 000 zł,Kaucja:3 000 zł,Powierzchnia:65 m²,Liczba pokoi:3,Rodzaj zabudowy:kamienica,Piętro:3,Liczba pięter:4,Materiał budynku:cegła,Okna:plastikowe,Ogrzewanie:miejskie,Rok budowy:1938,Stan wykończenia:do zamieszkania,zmywarkalodówkameblepiekarnikkuchenkapralka,drzwi / okna antywłamanioweteren zamkniętydomofon / wideofon,piwnicawindatylko dla niepalącychoddzielna kuchnia,,Nr oferty w Otodom: 61455072,,,,Data aktualizacji: 2 dni temu,,,,
1612266181-2577,https://www.otodom.pl/wynajem/mieszkanie/warszawa/?search%5Bprivate_business%5D=private&search%5Border%5D=created_at_first%3Adesc&search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&nrAdsPerPage=72,"50 m²
                    
                        Wynajmę mieszkanie 50m2 Żoliborz, ul. Tucholska",https://www.otodom.pl/pl/oferta/wynajme-mieszkanie-50m2-zoliborz-ul-tucholska-ID49CCF.html#d857922b87,"Warszawa, Żoliborz, Stary Żoliborz, ul. Tucholska",2 600 zł,Kaucja:2 600 zł,Powierzchnia:50 m²,Liczba pokoi:2,Rodzaj zabudowy:kamienica,Piętro:1,Liczba pięter:3,Materiał budynku:cegła,Okna:plastikowe,Ogrzewanie:miejskie,Rok budowy:1957,Stan wykończenia:do zamieszkania,zmywarkalodówkameblepiekarnikkuchenkapralka,drzwi / okna antywłamaniowedomofon / wideofon,balkonpiwnica,,Nr oferty w Otodom: 61398765,,https://www.otodom.pl/wynajem/mieszkanie/warszawa/?search%5Bprivate_business%5D=private&search%5Border%5D=created_at_first%3Adesc&search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&nrAdsPerPage=72&page=2,,Data aktualizacji: 6 dni temu,,,,
1612264332-1971,https://www.otodom.pl/wynajem/mieszkanie/warszawa/?search%5Bprivate_business%5D=private&search%5Border%5D=created_at_first%3Adesc&search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&nrAdsPerPage=72,"31 m²
                    
                        Wynajmę kawalerkę 31m2. URSYNÓW",https://www.otodom.pl/pl/oferta/wynajme-kawalerke-31m2-ursynow-ID49EyN.html#a3c75cdc52,"Warszawa, Ursynów",1 600 zł,Kaucja:1 000 zł,Powierzchnia:31 m²,Liczba pokoi:1,Rodzaj zabudowy:blok,Piętro:5,Liczba pięter:7,,,,,,lodówkameblepiekarnikkuchenkapralka,balkonpiwnica,,,Nr oferty w Otodom: 61406213,,https://www.otodom.pl/wynajem/mieszkanie/warszawa/?search%5Bprivate_business%5D=private&search%5Border%5D=created_at_first%3Adesc&search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&nrAdsPerPage=72&page=10,,Data aktualizacji: 14 dni temu,,,,
1612262184-1267,https://www.otodom.pl/wynajem/mieszkanie/warszawa/?search%5Bprivate_business%5D=private&search%5Border%5D=created_at_first%3Adesc&search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&nrAdsPerPage=72,"20 m²
                    
                        Zadbana kawalerka ulica Sienna",https://www.otodom.pl/pl/oferta/zadbana-kawalerka-ulica-sienna-ID49kOU.html#929a2ae3bc,"Warszawa, Wola, ul. Sienna",1 800 zł,Kaucja:1 800 zł,Powierzchnia:20 m²,Liczba pokoi:1,Rodzaj zabudowy:kamienica,Piętro:2,Liczba pięter:4,Materiał budynku:cegła,Okna:plastikowe,Ogrzewanie:miejskie,Rok budowy:2000,Stan wykończenia:do zamieszkania,zmywarkalodówkameblekuchenkatelewizorpralka,teren zamkniętydomofon / wideofonmonitoring / ochrona,telewizja kablowainternet,winda,Nr oferty w Otodom: 61330332,,https://www.otodom.pl/wynajem/mieszkanie/warszawa/?search%5Bprivate_business%5D=private&search%5Border%5D=created_at_first%3Adesc&search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&nrAdsPerPage=72&page=19,Czynsz - dodatkowo:100 zł,Data aktualizacji: 13 dni temu,,,,
1612263215-1607,https://www.otodom.pl/wynajem/mieszkanie/warszawa/?search%5Bprivate_business%5D=private&search%5Border%5D=created_at_first%3Adesc&search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&nrAdsPerPage=72,"90 m²
                    
                        Nowy, wysoki standard z atrakcyjnym widokiem.",https://www.otodom.pl/pl/oferta/nowy-wysoki-standard-z-atrakcyjnym-widokiem-ID49v5f.html#a0b0728056,"Warszawa, Bielany, ul. Żółwia",3 700 zł,Kaucja:6 500 zł,Powierzchnia:90 m²,Liczba pokoi:3,,Piętro:8,Liczba pięter:8,,,,Rok budowy:2020,Stan wykończenia:do zamieszkania,zmywarkalodówkapiekarnikkuchenkapralka,drzwi / okna antywłamanioweteren zamkniętydomofon / wideofon,telewizja kablowainternet,balkongaraż/miejsce parkingowewinda,Nr oferty w Otodom: 61373629,,https://www.otodom.pl/wynajem/mieszkanie/warszawa/?search%5Bprivate_business%5D=private&search%5Border%5D=created_at_first%3Adesc&search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&nrAdsPerPage=72&page=14,Czynsz - dodatkowo:1 000 zł,Data aktualizacji: 2 godziny temu,,,,
1612264113-1902,https://www.otodom.pl/wynajem/mieszkanie/warszawa/?search%5Bprivate_business%5D=private&search%5Border%5D=created_at_first%3Adesc&search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&nrAdsPerPage=72,"79 m²
                    
                        3-pok. komfortowe mieszkanie 79m2 ul. Bluszczańska",https://www.otodom.pl/pl/oferta/3-pok-komfortowe-mieszkanie-79m2-ul-bluszczanska-ID46Bul.html#7e930f9f3f,"Warszawa, Mokotów, Dolny Mokotów, ul. Bluszczańska",2 200 zł,Kaucja:3 000 zł,Powierzchnia:79 m²,Liczba pokoi:3,Rodzaj zabudowy:blok,Piętro:1,Liczba pięter:3,Materiał budynku:cegła,Okna:drewniane,Ogrzewanie:miejskie,Rok budowy:2004,Stan wykończenia:do zamieszkania,zmywarkalodówkameblepiekarnikkuchenkapralka,drzwi / okna antywłamanioweteren zamkniętydomofon / wideofonmonitoring / ochrona,balkongaraż/miejsce parkingowewindaoddzielna kuchnia,,Nr oferty w Otodom: 60679421,,https://www.otodom.pl/wynajem/mieszkanie/warszawa/?search%5Bprivate_business%5D=private&search%5Border%5D=created_at_first%3Adesc&search%5Bregion_id%5D=7&search%5Bsubregion_id%5D=197&search%5Bcity_id%5D=26&nrAdsPerPage=72&page=11,Czynsz - dodatkowo:800 zł,Data aktualizacji: 2 dni temu,,,,
